minute,hour,day,day_w,month,year,available
12,10,01,3,06,2016,1642
15,10,01,3,06,2016,1609
30,10,01,3,06,2016,1458
45,10,01,3,06,2016,1357
00,11,01,3,06,2016,1235
15,11,01,3,06,2016,1076
30,11,01,3,06,2016,944
45,11,01,3,06,2016,791
00,12,01,3,06,2016,637
15,12,01,3,06,2016,529
30,12,01,3,06,2016,437
45,12,01,3,06,2016,355
00,13,01,3,06,2016,220
15,13,01,3,06,2016,133
30,13,01,3,06,2016,26
45,13,01,3,06,2016,0
00,14,01,3,06,2016,0
15,14,01,3,06,2016,0
30,14,01,3,06,2016,0
45,14,01,3,06,2016,5
00,15,01,3,06,2016,0
15,15,01,3,06,2016,43
30,15,01,3,06,2016,62
45,15,01,3,06,2016,82
00,16,01,3,06,2016,84
15,16,01,3,06,2016,184
30,16,01,3,06,2016,302
45,16,01,3,06,2016,441
00,17,01,3,06,2016,523
15,17,01,3,06,2016,707
30,17,01,3,06,2016,955
45,17,01,3,06,2016,1168
00,18,01,3,06,2016,1391
15,18,01,3,06,2016,1572
30,18,01,3,06,2016,1619
45,18,01,3,06,2016,1753
00,19,01,3,06,2016,1852
15,19,01,3,06,2016,1946
30,19,01,3,06,2016,1999
45,19,01,3,06,2016,2022
00,20,01,3,06,2016,2104
15,20,01,3,06,2016,2248
30,20,01,3,06,2016,2356
45,20,01,3,06,2016,2522
00,21,01,3,06,2016,2656
15,21,01,3,06,2016,2868
30,21,01,3,06,2016,3073
45,21,01,3,06,2016,3292
00,22,01,3,06,2016,3524
15,22,01,3,06,2016,3851
30,22,01,3,06,2016,4069
45,22,01,3,06,2016,4199
00,23,01,3,06,2016,4288
15,23,01,3,06,2016,4389
30,23,01,3,06,2016,4458
45,23,01,3,06,2016,4467
00,00,02,4,06,2016,4475
15,00,02,4,06,2016,4475
30,00,02,4,06,2016,4474
45,00,02,4,06,2016,4473
00,01,02,4,06,2016,4479
15,01,02,4,06,2016,4480
30,01,02,4,06,2016,4480
45,01,02,4,06,2016,4480
00,02,02,4,06,2016,4486
15,02,02,4,06,2016,4486
30,02,02,4,06,2016,4483
45,02,02,4,06,2016,4487
00,03,02,4,06,2016,4488
15,03,02,4,06,2016,4489
30,03,02,4,06,2016,4489
45,03,02,4,06,2016,4488
00,04,02,4,06,2016,4487
15,04,02,4,06,2016,4488
30,04,02,4,06,2016,4488
45,04,02,4,06,2016,4488
00,05,02,4,06,2016,4487
15,05,02,4,06,2016,4489
30,05,02,4,06,2016,4489
45,05,02,4,06,2016,4485
00,06,02,4,06,2016,4479
15,06,02,4,06,2016,4467
30,06,02,4,06,2016,4442
45,06,02,4,06,2016,4395
00,07,02,4,06,2016,4305
15,07,02,4,06,2016,4178
30,07,02,4,06,2016,4006
45,07,02,4,06,2016,3826
00,08,02,4,06,2016,3585
15,08,02,4,06,2016,3314
30,08,02,4,06,2016,3019
45,08,02,4,06,2016,2734
00,09,02,4,06,2016,2421
15,09,02,4,06,2016,2141
30,09,02,4,06,2016,1914
45,09,02,4,06,2016,1650
00,10,02,4,06,2016,1437
15,10,02,4,06,2016,1257
30,10,02,4,06,2016,1082
45,10,02,4,06,2016,935
00,11,02,4,06,2016,781
15,11,02,4,06,2016,625
30,11,02,4,06,2016,490
45,11,02,4,06,2016,336
00,12,02,4,06,2016,203
15,12,02,4,06,2016,126
30,12,02,4,06,2016,36
45,12,02,4,06,2016,0
00,13,02,4,06,2016,0
15,13,02,4,06,2016,0
30,13,02,4,06,2016,1175
45,13,02,4,06,2016,1166
00,14,02,4,06,2016,1147
30,14,02,4,06,2016,1161
45,14,02,4,06,2016,1175
00,15,02,4,06,2016,1142
15,15,02,4,06,2016,1181
30,15,02,4,06,2016,1210
45,15,02,4,06,2016,1290
00,16,02,4,06,2016,1340
15,16,02,4,06,2016,1426
30,16,02,4,06,2016,1542
45,16,02,4,06,2016,1683
00,17,02,4,06,2016,1826
15,17,02,4,06,2016,2001
30,17,02,4,06,2016,2224
45,17,02,4,06,2016,2427
00,18,02,4,06,2016,2629
15,18,02,4,06,2016,2766
30,18,02,4,06,2016,2905
45,18,02,4,06,2016,3009
00,19,02,4,06,2016,3140
15,19,02,4,06,2016,3199
30,19,02,4,06,2016,3270
45,19,02,4,06,2016,3358
00,20,02,4,06,2016,3454
15,20,02,4,06,2016,3579
30,20,02,4,06,2016,3698
45,20,02,4,06,2016,3840
00,21,02,4,06,2016,3969
15,21,02,4,06,2016,4147
30,21,02,4,06,2016,4391
45,21,02,4,06,2016,4613
00,22,02,4,06,2016,4889
15,22,02,4,06,2016,5146
30,22,02,4,06,2016,5348
45,22,02,4,06,2016,5422
00,23,02,4,06,2016,5485
15,23,02,4,06,2016,5499
30,23,02,4,06,2016,5500
45,23,02,4,06,2016,5499
00,00,03,5,06,2016,5497
15,00,03,5,06,2016,5499
30,00,03,5,06,2016,5497
45,00,03,5,06,2016,5500
00,01,03,5,06,2016,5500
15,01,03,5,06,2016,5499
30,01,03,5,06,2016,5499
45,01,03,5,06,2016,5498
00,02,03,5,06,2016,5500
15,02,03,5,06,2016,5500
30,02,03,5,06,2016,5500
45,02,03,5,06,2016,5499
00,03,03,5,06,2016,5500
15,03,03,5,06,2016,5499
30,03,03,5,06,2016,5498
45,03,03,5,06,2016,5499
00,04,03,5,06,2016,5498
15,04,03,5,06,2016,5500
30,04,03,5,06,2016,5500
45,04,03,5,06,2016,5500
00,05,03,5,06,2016,5500
15,05,03,5,06,2016,5500
30,05,03,5,06,2016,5500
45,05,03,5,06,2016,5499
00,06,03,5,06,2016,5496
15,06,03,5,06,2016,5490
30,06,03,5,06,2016,5481
45,06,03,5,06,2016,5465
00,07,03,5,06,2016,5445
15,07,03,5,06,2016,5401
30,07,03,5,06,2016,5359
45,07,03,5,06,2016,5298
00,08,03,5,06,2016,5235
15,08,03,5,06,2016,5154
30,08,03,5,06,2016,5053
45,08,03,5,06,2016,4948
00,09,03,5,06,2016,4852
15,09,03,5,06,2016,4727
30,09,03,5,06,2016,4571
45,09,03,5,06,2016,4416
00,10,03,5,06,2016,4253
15,10,03,5,06,2016,4097
30,10,03,5,06,2016,3944
45,10,03,5,06,2016,3780
00,11,03,5,06,2016,3645
15,11,03,5,06,2016,3511
30,11,03,5,06,2016,3423
45,11,03,5,06,2016,3302
00,12,03,5,06,2016,3184
15,12,03,5,06,2016,3038
30,12,03,5,06,2016,2906
45,12,03,5,06,2016,2768
00,13,03,5,06,2016,2609
15,13,03,5,06,2016,2500
30,13,03,5,06,2016,2415
45,13,03,5,06,2016,2417
00,14,03,5,06,2016,2432
15,14,03,5,06,2016,2479
30,14,03,5,06,2016,2546
45,14,03,5,06,2016,2599
00,15,03,5,06,2016,2632
15,15,03,5,06,2016,2669
30,15,03,5,06,2016,2669
45,15,03,5,06,2016,2705
00,16,03,5,06,2016,2759
15,16,03,5,06,2016,2830
30,16,03,5,06,2016,2893
45,16,03,5,06,2016,2947
00,17,03,5,06,2016,3012
15,17,03,5,06,2016,3060
30,17,03,5,06,2016,3155
45,17,03,5,06,2016,3230
00,18,03,5,06,2016,3200
15,18,03,5,06,2016,3147
30,18,03,5,06,2016,3092
45,18,03,5,06,2016,3045
00,19,03,5,06,2016,3003
15,19,03,5,06,2016,2979
30,19,03,5,06,2016,2905
45,19,03,5,06,2016,2900
00,20,03,5,06,2016,2919
15,20,03,5,06,2016,2954
30,20,03,5,06,2016,3017
45,20,03,5,06,2016,3071
00,21,03,5,06,2016,3146
15,21,03,5,06,2016,3322
30,21,03,5,06,2016,3527
45,21,03,5,06,2016,3753
00,22,03,5,06,2016,4038
15,22,03,5,06,2016,4430
30,22,03,5,06,2016,4711
45,22,03,5,06,2016,4867
00,23,03,5,06,2016,4970
15,23,03,5,06,2016,5030
30,23,03,5,06,2016,5095
45,23,03,5,06,2016,5157
00,00,04,6,06,2016,5258
15,00,04,6,06,2016,5281
30,00,04,6,06,2016,5301
45,00,04,6,06,2016,5321
00,01,04,6,06,2016,5336
15,01,04,6,06,2016,5342
30,01,04,6,06,2016,5340
45,01,04,6,06,2016,5344
00,02,04,6,06,2016,5344
15,02,04,6,06,2016,5345
30,02,04,6,06,2016,5346
45,02,04,6,06,2016,5348
00,03,04,6,06,2016,5349
15,03,04,6,06,2016,5348
30,03,04,6,06,2016,5349
45,03,04,6,06,2016,5350
00,04,04,6,06,2016,5350
15,04,04,6,06,2016,5348
30,04,04,6,06,2016,5347
45,04,04,6,06,2016,5347
00,05,04,6,06,2016,5347
15,05,04,6,06,2016,5347
30,05,04,6,06,2016,5346
45,05,04,6,06,2016,5345
00,06,04,6,06,2016,5343
15,06,04,6,06,2016,5342
30,06,04,6,06,2016,5343
45,06,04,6,06,2016,5341
00,07,04,6,06,2016,5339
15,07,04,6,06,2016,5333
30,07,04,6,06,2016,5329
45,07,04,6,06,2016,5322
00,08,04,6,06,2016,5307
15,08,04,6,06,2016,5294
30,08,04,6,06,2016,5278
45,08,04,6,06,2016,5252
00,09,04,6,06,2016,5223
15,09,04,6,06,2016,5167
30,09,04,6,06,2016,5113
45,09,04,6,06,2016,5001
00,10,04,6,06,2016,4851
15,10,04,6,06,2016,4659
30,10,04,6,06,2016,4468
45,10,04,6,06,2016,4277
00,11,04,6,06,2016,4077
15,11,04,6,06,2016,3875
30,11,04,6,06,2016,3715
45,11,04,6,06,2016,3496
00,12,04,6,06,2016,3309
15,12,04,6,06,2016,3120
30,12,04,6,06,2016,2919
45,12,04,6,06,2016,2716
00,13,04,6,06,2016,2559
15,13,04,6,06,2016,2414
30,13,04,6,06,2016,2282
45,13,04,6,06,2016,2181
00,14,04,6,06,2016,2093
15,14,04,6,06,2016,2066
30,14,04,6,06,2016,2014
45,14,04,6,06,2016,1996
00,15,04,6,06,2016,1945
15,15,04,6,06,2016,1915
30,15,04,6,06,2016,1886
45,15,04,6,06,2016,1882
00,16,04,6,06,2016,1906
15,16,04,6,06,2016,1931
30,16,04,6,06,2016,1960
45,16,04,6,06,2016,1994
00,17,04,6,06,2016,2043
15,17,04,6,06,2016,2133
30,17,04,6,06,2016,2233
45,17,04,6,06,2016,2303
00,18,04,6,06,2016,2322
15,18,04,6,06,2016,2330
30,18,04,6,06,2016,2361
45,18,04,6,06,2016,2468
00,19,04,6,06,2016,2546
15,19,04,6,06,2016,2596
30,19,04,6,06,2016,2625
45,19,04,6,06,2016,2663
00,20,04,6,06,2016,2648
15,20,04,6,06,2016,2629
30,20,04,6,06,2016,2645
45,20,04,6,06,2016,2687
00,21,04,6,06,2016,2817
15,21,04,6,06,2016,3004
30,21,04,6,06,2016,3223
45,21,04,6,06,2016,3511
00,22,04,6,06,2016,3800
15,22,04,6,06,2016,4199
30,22,04,6,06,2016,4534
45,22,04,6,06,2016,4806
00,23,04,6,06,2016,4912
15,23,04,6,06,2016,4951
30,23,04,6,06,2016,4960
45,23,04,6,06,2016,4966
00,00,05,7,06,2016,4972
15,00,05,7,06,2016,4973
30,00,05,7,06,2016,4970
45,00,05,7,06,2016,4979
00,01,05,7,06,2016,4987
